⑯⑴⒁②⑯⑵	abated
⑭⑫⑴⑾⑬⒄	embryo
⑭⑫⒌⑯⑪⑵	emerald
⑬⑫⒋⑻⑯⑹	emerges
⑬⑫⒋⑻⑬⑩	emerging
⑭⑫⑬⑥⒌⑬	emissary
⑬⑫⑬⑦⑯⑿	emission
⑬⑫⑬②⑯⑵	emitted
⑬⑫⑬②⑬⑩	emitting
⑬⑫⒄⑦⑯⑿	emotion
⑬⑫⒄②⑬⑷	emotive
⑭⑫①⑯⑤⑬	empathy
⑭⑫①⒌⒌⑹	emperors
⑭⑫①⒂⒌⑹	empires
⑬⑫①⑪⒆⑵	employed
⑬⑫①⑪⒆⒀	employee
⑬⑫①⑪⒆⒌	employer
⑬⑫①⑪⒆⑹	employs
⑬⑫①⒉⒎⑫	emporium
⑬⑫①⑲⒌⑵	empowered
⑭⑫①⑾⑭⑥	empress
⑭⑫①②⑬⑵	emptied
⑬⑿⒁⑴⑯⑪	enable
⑬⑿⑮⑫⑯⑪	enamel
⑬⑿③⒁⑥②	encased
⑭⑿③⑪⒁⑷	enclave
⑬⑿③⑪⒄⑹	enclose
⑬⑿③⒄⑵⑹	encodes
⑬⑿③⑾⒄⑧	encroach
⑬⑿⑵⑭⑷⒌	endeavour
⑭⑿⑵⑬⑩⑹	endings
⑭⑿⑵⑪⑯⑥	endless
⑬⑿⑵⒉⑥②	endorsed
⑬⑿⑵⑨⑱⒌	endure
⑭⑿⑬⑫⑯⑹	enemas
⑭⑿⑯⑫⑬⑹	enemies
⑭⑿⒌⑻⑬⑹	energies
⑬⑿④⒉⑥②	enforced
⑬⑿⑶⒁⑻⑵	engaged
⑭⑿⑻⑬⑿⒍	engineer
⑭⑿⑻⑬⑿⑹	engines
⑬⑩⑶⑪⑬⑦	english
⑬⑿⑶⒃⑪④	engulf
⑬⑿⑽⑳⑿⑥	enhance
⑬⑿⑬⑶⑫⑯	enigma
⑬⑿⑻⒆⑬⑩	enjoying
⑬⑿⑪⒈⑻⑵	enlarged
⑬⑿⑪⑬⑥②	enlist
⑭⑿⑫⑬②⑬	enmity
⑬⑿⒉⑫⑯⑥	enormous
⑬⑿③⑼⒂⒌	enquire
⑬⑿⑾⒁⑻⑵	enraged
⑬⑿⑾⑬⑧②	enriched
⑬⑿⑾⒄⑪⑵	enrolled
⑬⑿⑥⒏⑬⑩	ensuing
⑬⑿⑦⑱⒌⑵	ensured
⑬⑿⑦⑱⒌⑹	ensures
⑬⑿②⒁⑪⑵	entailed
⑬⑿②⒁⑪⑹	entails
⑭⑿②⒌⑬⑩	entering
⑬⑿⑤⒏⑹⑵	enthused
⑬⑿②⒂⑥②	enticed
⑭⑿②⑬②⑬	entity
⑭⑿②⑾⑬⑹	entries
⑭⑿⑹⒂⑫⑹	enzymes
⑬④⑭⑫⒌⑯	ephemera
⑭①⑬⑪⑰⑶	epilogue
⑭①⑬⑥⒄⑵	episode
⑬①⑬⑥⑯⑪	epistle
⑭①⑬②⑳④	epitaph
⑭①⑬⑤⑭②	epithet
⒀③⑼⑯⑪⑵	equalled
⒀③⑼⑯⑪⑬	equally
⒀③⑼⑯⑪⑹	equals
⑬③⑼⒁②⑥	equates
⑬③⑼⒁②⒌	equator
⑬③⑼⑬①②	equipped
⑭③⑼⑬②⑬	equity
⑬⑾⒄⑵⑯⑵	eroded
⑬⑾⒄⑵⑬⑩	eroding
⑬⑾⒄⑺⑯⑿	erosion
⑬⑾⑰②⑬③	erotic
⑭⑾⑯⑿⑵⑹	errands
⑬⑾⑮②⑬③	erratic
⑬⑾⒄⑿⒎⑥	erroneous
⑭⑾⑱⑵⒂②	erudite
⑬⑥③⒁①②	escaped
⑬⑥③⒁①⑥	escapes
⑭⑥③⒉②⑥	escorts
⑬⑥①⑲⑹⑵	espoused
⑬⑥③⑼⒂⒌	esquire
⑬⑥②⒁②⑥	estates
⑭⑥⑧⑱⒌⑬	estuary
⑬②⒋⑿⑯⑪	eternal
⑭⑤⑬③⑯⑪	ethical
⑭⑤⑬③⑪⑬	ethically
⑭②⑬③⑭②	etiquette
⒏③⒌⑬⑥②	eucharist
⒏④⑰⑾⑬③	euphoric
⑨⑱⒌⒀③⑯	eureka
⑬⑷⒁⑵⑯⑵	evaded
⑬⑷⒁⑵⑬⑩	evading
⑬⑷⒁⑺⑯⑿	evasion
⑬⑷⒁⑥⑬⑷	evasive
⒀⑷⑯⑿⑬⑩	evening
⒀⑷⑿⑬⑩⑹	evenings
⒀⑷⑯⑿⑪⑬	evenly
⑬⑷⑭⑿②⑥	events
⑭⑷⑾⑬⑵⒁	everyday
⑭⑷⑾⑬⑼⒊	everywhere
⑬⑷⒄③⑬⑩	evoking
⑬⑷⑰⑪⑷⑵	evolved
⑬⑶⑹⑮③②	exact
⑬⑶⑹⑮⑫⑹	exams
⑬③⑥⒀⑵⑹	exceeds
⑬③⑥⑭⑪⑵	excelled
⑬③⑥⑭①②	except
⑬③⑥⒂⑹⑵	excised
⑬③⑥⒂②⑥	excites
⑬③⑥③⒏⑥	excuse
⑬③⑥③⒏⑹	excuse
⑬⑶⑹⒋②⑥	exerts
⑬⑶⑹⒇⑥②	exhaust
⑭③⑥⒂⑪⑵	exiled
⑭③⑥⒂⑪⑹	exiles
⑬⑶⑹⑬⑥②	exist
⑭③⑥⑬②⑥	exits
⑬③⑥①⑭⑪	expel
⑭③⑥①⒋②	expert
⑬③⑥①⒂⒌	expire
⑬③⑥①⑪⒉	explore
⑬③⑥①⒉②	export
⑭③⑥①⒉②	export
⑬③⑥①⒄⑹	expose
⑬③⑥②⒍⒍	exterior
⑭③⑥②⑾⑯	extra
⒂⑪⑮⑦⑯⑹	eyelashes
④⒁⑴⑯⑪⑵	fabled
④⒁⑴⑯⑪⑹	fables
④⑮⑴⑾⑬③	fabric
④⑯⑥⑳⑵⑹	facades
④⒁⑥⑪⑯⑥	faceless
④⑮⑥⑬②⑥	facets
④⑮③⑦⑯⑿	faction
④⑮③②⒌⑹	factors
④⑮③②⒌⑬	factory
④⒁⑪⑬⑩⑹	failings
④⒁⑪⑨⒌⑹	failures
④⒁⑿②⑯⑵	fainted
④⒁⑿②⑪⑬	faintly
④⒊⑬②⒁⑪	fairytale
④⒁⑤④⑯⑪	faithful
④⒇⑪③⑯⑿	falcon
④⑮⑪⑯⑥⑬	fallacy
④⒇⑪⑥⑪⑬	falsely
④⒇⑪②⒌⑵	faltered
④⑯⑫⑬⑪⒍	familiar
④⑮⑿⑥⑬⑵	fancied
④⑮⑿⑥⑬⑹	fancies
④⒊⑼⑭⑪⑹	farewells
④⒈⑫⑽⑲⑥	farmhouse
④⒈⑫⑨⒈⑵	farmyard
④⒈⑸⑯⑥②	farthest
④⑮⑦⑬⑥②	fascist
④⑮⑦⑯⑿⑵	fashioned
④⑮⑦⑯⑿⑹	fashions
④⑳⑥⑯⑿⑵	fastened
④⑳⑥②⑬⑩	fasting
④⒁②⑯⑪⑬	fatally
④⒁②④⑯⑪	fateful
④⑳⑸⒌⑪⑬	fatherly
④⑮⑸⑯⑫⑹	fathoms
④⑯②⒀⑶⑹	fatigues
④⑮⑧⑱⑯⑥	fatuous
④⒁⑷⒌⑬⑩	favouring
④⒁⑷⒌⑬②	favourite
④⑮③⑥⑯⑹	faxes
④⒍④⑯⑪⑬	fearfully
④⒀⑧⒌⑬⑩	featuring
④⑭③⑪⑯⑥	feckless
④⑭⑵⒌⑯⑪	federal
④⒀⑵⑴⑮③	feedback
④⒀⑪⑬⑩⑹	feelings
④⑭⑪⑯⑿⑬	felony
④⒀⑫⒁⑪⑹	females
④⑭⑿⑥⑯⑹	fences
④⑭⑿⑥⑬⑩	fencing
④⒋⑫⑭⑿②	ferment
④⒌⒄⑦⑯⑥	ferocious
④⑭⑾⑯②⑥	ferrets
④⒋⑷⑯⑿②	fervent
④⑭⑥②⑬⑷	festive
④⒀⑷⒌⑬⑦	feverish
④⑬⑰⑿⑥⒁	fiance
④⑬⑮⑥③⒄	fiasco
④⒂⑴⑾⑯⑥	fibrous
④⑬③⑦⑯⑿	fiction
④⑬⑵⑯⑪⑵	fiddled
④⑬⑵⑪⑬⑩	fiddling
④⒀⑪⑵⑯⑵	fielded
④⒀⑪⑵⑬⑩	fielding
④⒍⑥⑯⑥②	fiercest
④⑬④②⒀⑿	fifteen
④⑬④②⑬⑹	fifties
④⑬④②⒎⑤	fiftieth
④⑬⑶⒌⑬⑩	figuring
④⒂⑪⑿⒁⑫	filename
④⑬⑪⑬②⑥	fillets
④⑬⑪⑬⑩⑹	fillings
④⑬⑪⑫⑬⑩	filming
④⑬⑪②⒌⑵	filtered
④⑬⑪②⒌⑹	filters
④⑬⑿⑳⑪⑬	finale
④⒂⑿⑯⑪⑬	finally
④⒂⑿⑯⑪⑹	finals
④⒂⑿⑮⑿⑥	finance
④⑬⑿⑧⑯⑹	finches
④⒂⑿⑵⑬⑩	finding
④⒂⑿⑯⑥②	finest
④⑬⑩⑶⒌⑵	fingered
④⑬⑩⑶⒌⑹	fingers
④⑬⑿⑬⑦②	finished
④⒂⒌⒈⑫⑹	firearms
④⒂⒌⑴⒇⑪	fireball
④⒂⒌④⑪⒂	firefly
④⒂⒌⑪⒂②	firelight
④⒂⒌⑫⑯⑿	fireman
④⒂⒌⑫⑭⑿	firemen
④⒂⒌⑥⒂⑵	fireside
④⒂⒌⑼⑱⑵	firewood
④⒂⒌⑼⒋③	firework
④⒋⑫⑿⑯⑥	firmness
④⒋⑥②⑪⑬	firstly
④⑬⑥③⑯⑪	fiscal
④⑬⑦⒌⑬⑹	fisheries
④⑬②④⑯⑪	fitful
④⑬②⑿⑯⑥	fitness
④⑬②⑯⑥②	fittest
④⑬②⑬⑩⑹	fittings
④⑬③⑥⑯⑹	fixes
④⑬③⑥⑬⑩	fixing
④⑬③⑥⑧⒌	fixture
④⑪⒁⑪⑬⑩	flailing
④⑪⒁⑫⑬⑩	flaming
④⑪⑮⑩③②	flanked
④⑪⑮⑩③⑥	flanks
④⑪⑮⑿⑯⑪	flannel
④⑪⑮①⑬⑩	flapping
④⑪⑮⑦⑯⑹	flashes
④⑪⑮⑦⑬⑩	flashing
④⑪⑳⑥③⑥	flasks
④⑪⑮②⑪⑬	flatly
④⑪⑮②⑯⑿	flatten
④⑪⑮②⒌⑵	flattered
④⑪⑮②⒌⑬	flattery
④⑪⒁⑷⒌⑵	flavoured
④⑪⒁⑷⒌⑹	flavours
④⑪⒇⑪⑯⑥	flawless
④⑪⒀②⑬⑩	fleeting
④⑪⑭⑫⑬⑦	flemish
④⑪⑭③⑥②	flexed
④⑪⑬③⒌⑵	flickered
④⑪⑬③⑬⑩	flicking
④⑪⑬⑫⑹⑬	flimsy
④⑪⑬⑿⑧②	flinched
④⑪⑬⑩⑬⑩	flinging
④⑪⑬①⑬⑩	flipping
④⑪⒋②⑬⑩	flirting
④⑪⑬②⑬⑩	flitting
④⑪⒄②⑯⑵	floated
④⑪⒄②⑬⑩	floating
④⑪⑰③⑬⑩	flocking
④⑪⒃⑵⑯⑵	flooded
④⑪⒃⑵⑬⑩	flooding
④⑪⑰①⑬⑩	flopping
④⑪⑰⑾⑬⑵	florid
④⑪⒃⑾⑬⑦	flourish
④⑪⑲②⑯⑵	flouted
④⑪⑲⒌⑬⑩	flowering
④⑪⒅⑯⑿②	fluent
④⑪⒅⑬⑵⑹	fluids
④⑪⑱⒌⒂⑵	fluoride
④⑪⒃⑦⑯⑹	flushes
④⑪⒃⑦⑬⑩	flushing
④⑪⒅②⑯⑵	fluted
④⑪⒃②⒌⑵	fluttered
④⑪⒂⑼⒁②	flyweight
④⒄③⑯⑥②	focused
④⒄⑪⑵⑯⑵	folded
④⒄⑪⑵⒌⑹	folders
④⒄⑪⑵⑬⑩	folding
④⒄⑪⑬⑬⑻	foliage
④⑰⑪⒄⒌⑹	followers
④⑰⑪⒄⑬⑩	following
④⑰⑿⑵⑪⑬	fondly
④⑱②⑴⒇⑪	football
④⑱②⑪⒅⑥	footloose
④⑱②⑫⑯⑿	footman
④⑱②⑿⒄②	footnote
④⑱②①⑳⑤	footpath
④⑱②⑼⒋③	footwork
④⒌⑴⑬⑵⑹	forbids
④⒉⑥④⑯⑪	forceful
④⒉⑥⑭①⑥	forceps
④⒉③⑳⑥②	forecast
④⒉⑶⒄⑬⑩	foregoing
④⑰⑾⑬⑿⒌	foreigner
④⒉⑫⒄⑥②	foremost
④⒉⑾⒃⑿⒌	forerunner
④⒉⑥③⑬⑿	foreskin
④⑰⑾⑬⑥②	forest
④⒉⑥②⒇⑪	forestall
④⒉②⒁⑥②	foretaste
④⒉④⑬⑧⒌	forfeiture
④⒉⑻⒌⑬⑹	forgeries
④⒌⑶⑭②⑥	forgets
④⒉⑫⑯⑪⑬	formally
④⒉⑫⑮②⑥	formats
④⒉⑫⒌⑪⑬	formerly
④⒉⑫⑪⑯⑥	formless
④⒉⑤⑾⒂②	forthright
④⒉⑤⑼⑬⑤	forthwith
④⒉②⑿⒂②	fortnight
④⒉②⑾⑯⑥	fortress
④⒉⑧⒅⑿⑹	fortunes
④⒉⑼⒌⑵⑹	forwards
④⑰⑥⑯⑪⑹	fossils
④⑰⑥②⒌⑵	fostered
④⑲⑿⑵⑯⑵	founded
④⑲⑿⑵⒌⑹	founders
④⑲⑿⑵⑬⑩	founding
④⑲⑿⑵⑾⑬	foundry
④⑲⑿②⑯⑿	fountain
④⒉①⑯⑿⑥	fourpence
④⒉⑥⑯⑫⑹	foursomes
④⒉②⒀⑿⑤	fourteenth
④⑰③⑥⑯⑹	foxes
④⑾⑮③⑳⑹	fracas
④⑾⑮③⑧⒌	fracture
④⑾⑮⑻⒂⑪	fragile
④⑾⒁⑪②⑬	frailty
④⑾⒁⑫⑬⑩	framing
④⑾⑮⑩③⑥	francs
④⑾⒀⑵⑯⑫	freedom
④⑾⒀⑫⑯⑿	freeman
④⑾⒀⑫⑭⑿	freemen
④⑾⒀⑹⒌⑹	freezers
④⑾⒀⑹⑯⑹	freezes
④⑾⒀⑹⑬⑩	freezing
④⑾⑭⑿⑹⑬	frenzy
④⑾⑭⑥③⒄	fresco
④⑾⑭⑦⑪⑬	freshly
④⑾⑭②⑬⑩	fretting
④⑾⒆⑵⒎⑿	freudian
④⑾⑬⑻⑯⑹	fridges
④⑾⑭⑿⑵⑹	friends
④⑾⑬⑶⑯②	frigate
④⑾⒂②⑯⑿	frighten
④⑾⑬⑻⑬⑵	frigid
④⑾⒀⑥⑰⑿	frisson
④⑾⑰⑿⑵⑹	fronds
④⑾⒃⑿②⒍	frontier
④⑾⒃⑿②⑥	fronts
④⑾⑰⑥②⑥	frosts
④⑾⑰⑥②⑬	frosty
④⑾⑲⑿⑬⑩	frowning
④⑾⒄⑹⑯⑿	frozen
④⑾⒅⑶⑯⑪	frugal
④⒏⑯⑪⑬⑩	fuelling
④⑱⑪④⑬⑪	fulfil
④⑱⑪⑴⑮③	fullback
④⑱⑪⑯⑥②	fullest
④⑱⑪⑿⑯⑥	fullness
④⑱⑪⑫⒌⑹	fulmars
④⑱⑪⑥⑯⑫	fulsome
④⒃⑿⑵⑯⑵	funded
④⒃⑿⑵⑬⑩	funding
④⒏⑿⒌⑯⑪	funeral
④⒃⑩⑶⑯⑥	fungus
④⒃⑿⑬⑪⑬	funnily
④⑨⑱⒌⒎⑥	furious
④⒋⑪⑰⑩⑹	furlongs
④⒋⑿⑬⑦②	furnished
④⒋⑿⑬⑧⒌	furniture
④⑨⑱⒌⒉⑬	furore
④⒋⑸⒌⑬⑩	furthering
④⒋⑸⒌⑫⒉	furthermore
④⒋⑸⑯⑥②	furthest
⑶⒁⑴⑯⑪⑹	gables
⑶⑮⑻⑬②⑥	gadgets
⑶⑮⑪⑯⑿②	gallant
⑶⑮⑪⒌⑬⑹	galleries
⑶⑮⑪⑯⑿⑹	gallons
⑶⑮⑪⑯①②	galloped
⑶⑮⑫⑴⑬②	gambit
⑶⑮⑫⑴⑯⑪	gamble
⑶⑮⑫⑴⑪⒌	gambler
⑶⑮⑩⑶⑪⒎	ganglia
⑶⑮⑩⑥②⒌	gangster
⑶⑮⑿②⑾⑬	gantry
⑶⒈⑵⑯⑿⒌	gardener
⑶⒈⑵⑿⑬⑩	gardening
⑶⒈⑵⑯⑿⑹	gardens
⑶⒈⑶⒆⑪⑹	gargoyles
⑶⒈⑪⑯⑿⑵	garland
⑶⒈⑫⑯⑿②	garment
⑶⑳⑥①⑬⑩	gasping
⑶⒁②⑽⑲⑥	gatehouse
⑶⒁②⑼⒁⑹	gateways
⑶⑮⑸⒌⒌⑹	gatherers
⑶⑮⑸⒌⑬⑩	gathering
⑶⒍⑴⑰③⑥	gearbox
⑻⑭⑿⒌⑯⑪	general
⑻⑭⑿⒌⒁②	generate
⑻⑭⑿⒌⑯⑥	generous
⑺⑳⑿⑾⑯⑹	genres
⑻⑭⑿②⒀⑪	genteel
⑻⑭⑿②⑯⑪	gentle
⑻⑭⑿②⑪⒌	gentler
⑻⑭⑿②⑪⑬	gently
⑻⒉⑻⑯⑿⑹	georgians
⑻⒌⒁⑿⒎⑫	geranium
⑻⒋⑫⑯⑿⑹	germans
⑻⑭⑥⑧⒌⑵	gestured
⑻⑭⑥⑧⒌⑹	gestures
⑶⑭②⑯⑼⒁	getaway
⑶⑳⑥②⑪⑬	ghastly
⑶⒄⑥②⑪⑬	ghostly
⑻⒂⑯⑿②⑥	giants
⑶⑬⑴⑯⑿⑹	gibbons
⑶⑬④②⑯⑵	gifted
⑶⑬⑶⑯⑪⑵	giggled
⑶⑬⑶⑯⑪⑹	giggles
⑶⑬⑶⑪⑬⑩	giggling
⑶⑬⑪⑵⑯⑵	gilded
⑻⑬①⑥⑬⑹	gypsies
⑶⑬⑷⑯⑼⒁	giveaway
⑶⑪⒁⑦⑯⑪	glacial
⑶⑪⑮⑥⒍⑹	glaciers
⑶⑪⑮⑵⑪⑬	gladly
⑶⑪⑳⑿⑥②	glanced
⑶⑪⑮⑿⑵⑹	glands
⑶⑪⑳⑥⑯⑹	glasses
⑶⑪⑳⑥⑼⒊	glassware
⑶⑪⒁⑹⑬⑩	glazing
⑶⑪⒀⑫⑬⑩	gleaming
⑶⑪⒀④⑯⑪	gleeful
⑶⑪⒂⑵⑯⑵	glided
⑶⑪⒂⑵⒌⑹	gliders
⑶⑪⒂⑵⑬⑩	gliding
⑶⑪⑬⑫①⑥	glimpse
⑶⑪⑬②⒌⑵	glittered
⑶⑪⒄⑴⑯⑪	global
⑶⑪⑰⑥⒌⑬	glossary
⑶⑪⑲⒌⑬⑩	glowering
⑶⑪⒅③⒄⑥	glucose
⑶⑪⒃⑫⑪⑬	glumly
⑶⑪⒅②⑯⑿	gluten
⑻⑬⑭⑿①⒀	gnp
⑶⒄⑪⑪⑯⑥	goalless
⑶⑰⑴⑪⑯②	goblet
⑶⑰⑴⑪⑬⑿	goblin
⑶⑰⑵⑵⑮⑫	goddam
⑶⑰⑶⑯⑪⑹	goggles
⑶⒄⑪⑵⑯⑿	golden
⑶⑰⑪④⒌⑹	golfers
⑶⑱⑵⑴⒂⑹	goodbyes
⑶⑱⑵⑿⑯⑥	goodness
⑶⑱⑵⑿⒂②	goodnight
⑶⑱⑵⑼⑬⑪	goodwill
⑶⑱⑹⑴⒌⑬	gooseberry
⑶⒌⑬⑪⑯⑹	guerrillas
⑶⑰⑥①⑯⑪	gospel
⑶⒃⑷⒌⑿⑵	governed
⑶⒃⑷⒌⑿⒌	governor
⑶⒃⑷⒌⑿⑹	governs
⑶⑾⑮⑴⑬⑩	grabbing
⑶⑾⒁⑥⑯⑹	graces
⑶⑾⒁⑦⑯⑥	gracious
⑶⑾⒁⑵⑯⑵	graded
⑶⑾⒁⑵⑬⑩	grading
⑶⑾⑮⑫⒌⑹	grammars
⑶⑾⑮⑿⑵⒌	grander
⑶⑾⑮⑿⑻⒌	grandeur
⑶⑾⑮⑿⑬②	granite
⑶⑾⑳⑿②⑥	grants
⑶⑾⑮④⑬③	graphic
⑶⑾⑮④⒂②	graphite
⑶⑾⑮①⑯⑪	grapple
⑶⑾⑳⑥①②	grasped
⑶⑾⑳⑥⑯⑹	grasses
⑶⑾⒁②⑯⑵	grated
⑶⑾⑮⑷⑯⑪	gravel
⑶⑾⒁⑷⑪⑬	gravely
⑶⑾⒁⑹⑬⑩	grazing
⑶⑾⒁②⑪⑬	greatly
⑶⑾⒀⑿⒌⑬	greenery
⑶⑾⒀⑿⑬⑦	greenish
⑶⑾⒀②⑯⑵	greeted
⑶⑾⒀②⑬⑩	greeting
⑶⑾⑯⑿⒁⑵	grenade
⑶⑾⒀⑷⑬⑩	grieving
⑶⑾⒀⑷⑯⑥	grievous
⑶⑾⑬⑫⑯⑥	grimace
⑶⑾⑬⑫⑪⑬	grimly
⑶⑾⒂⑿⑵⒌	grinder
⑶⑾⑬⑿⑬⑩	grinning
⑶⑾⑬①⑬⑩	gripping
⑶⑾⑬⑹⑪⑬	grisly
⑶⑾⑬②⑯⑵	gritted
⑶⑾⑬②⑬⑩	gritting
⑶⑾⒄⑿⑬⑩	groaning
⑶⑾⒄⑥⒌⑹	grocers
⑶⑾⒄⑥⒌⑬	grocery
⑶⑾⒅⑫⑬⑩	grooming
⑶⑾⒄①⑬⑩	groping
⑶⑾⒄⑥⑪⑬	grossly
⑶⑾⑲⑿⑵⑹	grounds
⑶⑾⒅①⑬⑩	grouping
⑶⑾⑲⑪⑬⑩	growling
⑶⑾⒅⑥⑯⑫	gruesome
⑶⑾⒃④⑪⑬	gruffly
⑶⑾⒃⑫①⑬	grumpy
⑶⑾⒃⑿②⑥	grunts
⑶⒈⑵⒎⑿⑹	guardians
⑶⑭⑥⑼⒋③	guesswork
⑶⒂⑵⑯⑿⑥	guidance
⑶⒂⑵⑴⑱③	guidebook
⑶⒂⑵⑪⒂⑿	guideline
⑶⒃⑪①⑬⑩	gulping
⑶⒃⑿④⒂⒌	gunfire
⑶⒃⑿⑫⑯⑿	gunman
⑶⒃⑿⑫⑭⑿	gunmen
⑶⒃⑿⑦⑰②	gunshot
⑶⒃②⒌⑬⑩	guttering
⑻⑬①⑥⑯⑫	gypsum
⑽⑮⑴⑬②⑥	habits
⑽⑭⑫⒌⑬⑻	haemorrhage
⑽⒊③⒃②⑥	haircuts
⑽⒊⑵⑾⒂⒌	hairdryer
⑽⒊⑥②⒂⑪	hairstyle
⑽⒇⑪⑫⒈③	hallmark
⑽⑮⑪⒄⒀⑿	halloween
⑽⒇⑪②⑯⑵	halted
⑽⒇⑪②⑬⑩	halting
⑽⑮⑫⑪⑯②	hamlet
⑽⑮⑫⒌⑬⑩	hammering
⑽⑮⑫①⒌⑵	hampered
⑽⑮⑫⑥②⒌	hamster
⑽⑮⑿⑵⑯⑵	handed
⑽⑮⑿⑵⑬⑩	handing
⑽⑮⑿⑵⑯⑪	handle
⑽⑮⑿⑵⑪⒌	handler
⑽⑮⑩⑬⑩⑹	hangings
⑽⑮⑩⑫⑯⑿	hangman
⑽⑮⑩⒄⑷⒌	hangover
⑽⑮①⑪⑯⑥	hapless
⑽⑮①⑯⑿⑵	happened
⑽⑮①⑯⑿⑹	happens
⑽⑮①⑬⑪⑬	happily
⑽⒌⑮⑥⑬⑩	harassing
⑽⒈⑴⒌⑬⑩	harbouring
⑽⒈⑵⑴⑮③	hardback
⑽⒈⑵⑴⒉⑵	hardboard
⑽⒈⑵⑯⑿⑵	hardened
⑽⒈⑵⑯⑿⑹	hardens
⑽⒈⑵⑯⑥②	hardest
⑽⒈⑵⑿⑯⑥	hardness
⑽⒈⑵⑦⑬①	hardship
⑽⒈⑵⑼⑱⑵	hardwood
⑽⒈⑫④⑯⑪	harmful
⑽⒈⑫⑪⑯⑥	harmless
⑽⒈⑫⑯⑿⑬	harmony
⑽⒈⑿⑯⑥②	harnessed
⑽⑮⑾⑬⒌⑹	harriers
⑽⒈⑦⑿⑯⑥	harshness
⑽⒈⑷⑬⑥②	harvest
⑽⒁⑥⑯⑿⑵	hastened
⑽⑮⑧⑴⑮③	hatchback
⑽⒁②④⑯⑪	hateful
⑽⒁②⑾⑯⑵	hatred
⑽⒇②⑬⑪⑬	haughtily
⑽⒇⑿⑧⑯⑹	haunches
⑽⒇⑿②⑯⑵	haunted
⑽⒇⑿②⑬⑩	haunting
⑽⒁⑷⑯⑿⑹	havens
⑽⑮⑹⒌⑵⑹	hazards
⑽⑭⑵⒁③⑥	headaches
⑽⑭⑵⑴⒉⑵	headboard
⑽⑭⑵⑬⑩⑹	headings
⑽⑭⑵⑪⑯⑥	headless
⑽⑭⑵⑪⒂⑿	headline
⑽⑭⑵⑪⑰⑩	headlong
⑽⑭⑵⑫⑮⑿	headman
⑽⑭⑵⑫⑭⑿	headmen
⑽⑭⑵⑾⒅⑫	headroom
⑽⑭⑵⑦⑬①	headship
⑽⑭⑪⑤⑬⒌	healthier
⑽⒈②⑴⒀②	heartbeat
⑽⒈②⑯⑿⑵	heartened
⑽⒈②⑬⑪⑬	heartily
⑽⒈②⑪⑯⑥	heartless
⑽⑭⑷⑯⑿⑹	heavens
⑽⑭⑷⑬⑪⑬	heavily
⑽⒀⑴⑾⒅⑹	hebrews
⑽⑭③②⒊⑹	hectares
⑽⑭③②⑬③	hectic
⑽⑭⑻⑽⑰⑶	hedgehog
⑽⑭⑻⑾⒄⑹	hedgerows
⑽⒀⑵⑪⑯⑥	heedless
⑽⒂②⑯⑿⑵	heightened
⑽⑭⑪⑫⑯②	helmet
⑽⑭⑪①⒌⑹	helpers
⑽⑭⑪①⑬⑩	helping
⑽⑭⑾⑯⑪⑵	herald
⑽⒍⑳④②⒌	hereafter
⑽⑭⑾⑯⑥⑬	heresy
⑽⑬⑾⒄⑬③	heroic
⑽⑭⑾⒄⑬⑿	heroin
⑽⑭⑾⑯⑿⑹	herons
⑽⑭⑾⑬⑩⑹	herrings
⑽⒋⑥⑭⑪④	herself
⑽⒂⒁②⑯⑥	hiatus
⑽⑬③⒃①⑥	hiccups
⑽⒂⑵⑯⑼⒁	hideaway
⑽⒂⒌⒈③⑬	hierarchy
⑽⒂⑪⑯⑿⑵	highland
⑽⒂⑪⒂②⑥	highlights
⑽⒂⑻⑮③②	hijacked
⑽⑬⑪⒊⒎⑥	hilarious
⑽⑬⑪⑥⒂⑵	hillside
⑽⑬⑪②⑰①	hilltop
⑽⑬⑿⑵⒌⑵	hindered
⑽⑬⑿⑵⒌⑹	hinders
⑽⑬⑿⑵⒅⑹	hindus
⑽⑬⑿⑻⑯⑹	hinges
⑽⑬⑿②⑯⑵	hinted
⑽⑬⑿②⑬⑩	hinting
⑽⑬⑥②⒌⑬	history
⑽⑬⑸⒌②⒅	hitherto
⑽⒉⑵⑬⑩⑹	hoardings
⑽⑰⑴⑯⑪⑵	hobbled
⑽⑰⑴⑪⑬⑩	hobbling
⑽⒆⑥②⑯⑵	hoisted
⑽⒄⑪⑵⒇⑪	holdall
⑽⒄⑪⑵⒌⑹	holders
⑽⒄⑪⑵⑬⑩	holding
⑽⑰⑪⑬⑵⒁	holiday
⑽⒄⑪⑥②⒌	holster
⑽⒄⑫⑪⑯⑥	homeless
⑽⒄⑫⑥⑬③	homesick
⑽⒄⑫⑼⒋③	homework
⑰⑿⑯⑥②⑬	honesty
⑽⒄①④⑯⑪	hopeful
⑽⒄①⑪⑯⑥	hopeless
⑽⒌⒂⑹⑯⑿	horizon
⑽⒉⑫⒄⑿⑹	hormones
⑽⒌⑬④⑬③	horrific
⑽⒉⑥⑴⑮③	horseback
⑽⒉⑥⑫⑯⑿	horseman
⑽⒉⑥⑫⑭⑿	horsemen
⑽⒉⑥①⑲⒌	horsepower
⑽⒄⑹①⒂①	hosepipe
⑽⑰⑥①⑬⑥	hospice
⑽⑰⑥②⑬⑻	hostage
⑽⒄⑥②⑯⑵	hosted
