②⑼⑰⑹	'twas
④⑲⑪⒌	fouler
④⑲⑪⑹	fowls
④⑲⑿⑵	found
④⑲⑿②	fount
④⒉⑤⑥	fourths
④⑰③⑥	fox
④⒆⒁⑹	foyers
④⑾⒁⑪	frail
④⑾⒁⑫	frame
④⑾⒇⑵	fraud
④⑾⒇②	fraught
④⑾⒁⑵	frayed
④⑾⒁⑹	phrase
④⑾⒀③	freak
④⑾⒀⑵	freed
④⑾⒀⒌	freer
④⑾⒀⑹	freeze
④⑾⒁②	freight
④⑾⑭⑦	fresh
④⑾⑭②	fret
④⑾⒂⒌	friar
④⑾⑬⑻	fridge
④⑾⒂⑵	fried
④⑾⒂⑹	fries
④⑾⒂②	fright
④⑾⑬⑪	frill
④⑾⑬⑹	frizz
④⑾⑰③	frock
④⑾⑰⑶	frog
④⑾⑰⑫	from
④⑾⑰⑤	froth
④⑾⑲⑿	frown
④⑾⒄⑹	froze
④⑾⒅②	fruit
④⒏⑦⑯	fuchsia
④⒃③②	fucked
④⒃③⒌	fucker
④⒃③⑥	fucks
④⒏⑯⑪	fuel
④⒃⑶⑬	fuggy
④⒃⑶⑹	fugs
④⒏⑶⑹	fugues
④⑱⑪⒌	fuller
④⑱⑪⑬	fully
④⒏⑫⑵	fumed
④⒏⑫⑹	fumes
④⒃⑿⑵	fund
④⒃⑩③	funk
④⒃⑿⑬	funny
④⒋⑪⑵	furled
④⒋⑪⒄	furlough
④⒋⑪⑹	furls
④⒃⑾⒍	furrier
④⒋⑬⒌	furrier
④⒃⑾⒄	furrow
④⒋⑸⒌	further
④⒏⑹⑵	fused
④⒃⑥②	fussed
④⒃⑥⑬	fussy
④⒏⑧⒌	future
④⒃⑹⑬	fuzzy
⑶⑮⑵⑹	gads
⑶⒁⑪⑹	gales
⑶⑮④⒌	gaffer
⑶⑮④⑥	gaffes
⑶⑳⑶⑳	gaga
⑶⒁⑻⑵	gauged
⑶⑮⑶⑵	gagged
⑶⑮⑶⑹	gags
⑶⒁⑪⑬	gaily
⑶⒁⑿⑵	gained
⑶⒁⑿⑹	gains
⑶⒁②⒌	gaiter
⑶⒁②⑥	gates
⑶⑳⑪⑯	gala
⑶⒇⑪⑵	galled
⑶⑮⑪⑬	galley
⑶⒇⑪⑹	galls
⑶⑯⑪⒉	galore
⑶⑮⑪⑹	gals
⑶⒁⑫⑵	gamed
⑶⒁⑫⑹	games
⑶⑮⑫⑯	gamma
⑶⑮⑫⑬	gammy
⑶⑮⑫①	gamp
⑶⒁⑫⑬	gamy
⑶⑮⑩⑵	ganged
⑶⑮⑩⒌	ganger
⑶⑮⑩⑹	gangs
⑻⒁⑪⑵	jailed
⑻⒁⑪⒌	gaoler
⑻⒁⑪⑹	jails
⑶⒁①②	gaped
⑶⒁①⑥	gapes
⑶⑮①⑥	gaps
⑶⒈⑴⑵	garbed
⑶⒈⑴⑹	garbs
⑶⒊⑬⑦	garish
⑶⒈⑿⒌	garner
⑶⒌⑰②	garrotte
⑶⒈②⒌	garter
⑶⑮⑦②	gashed
⑶⑳⑥①	gasp
⑶⑮⑥②	gassed
⑶⑮⑥⑬	gassy
⑶⑮②⒄	gateau
⑶⑮⑸⒌	gather
⑶⑲⑧⒄	gaucho
⑶⒇⑵⑹	gauds
⑶⒇⑵⑬	gaudy
⑶⒇⑿②	gaunt
⑶⒇⑹⑬	gauzy
⑶⒇③⑥	gawks
⑶⒇③⑬	gawky
⑶⒇①②	gawped
⑶⒇①⑥	gawps
⑶⒁⑹⑵	gazed
⑶⒍⑬⑩	gearing
⑶⑭③⒄	gecko
⑶⒀⑹⒌	geezer
⑶⒂⑶⒌	geiger
⑶⒁⑦⑯	geisha
⑶⑭⑪⑵	geld
⑻⑭⑪⑵	gelled
⑻⑭⑪⑹	gels
⑻⑭⑫⑵	gemmed
⑻⑭⑫⑹	gems
⑻⒀⑿⑹	genes
⑻⒀⑿⑬	genie
⑻⑭⑿⑵	genned
⑻⑭⑿⑹	gens
⑻⑭⑿②	gent
⑻⒋⑫⑹	germs
⑶⑭②⑥	gets
⑻⒎⑫⑹	geums
⑶⒂⑹⒌	geyser
⑶⑮⑾⑬	gharry
⑶⑳②⑥	ghats
⑶⑭②⒄	ghetto
⑶⒄⑥②	ghost
⑶⒅⑪⑹	ghouls
⑻⑬⑴⒌	gibber
⑻⒂⑴⑵	jibed
⑻⒂⑴⑹	jibes
⑶⑬⑵⑬	giddy
⑶⑬④②	gift
⑶⑬⑶⑹	gigs
⑶⑬⑪⑵	guild
⑶⑬⑪⑬	gillie
⑶⑬⑪⑹	gills
⑻⑬⑪⑹	gills
⑶⑬⑪②	guilt
⑻⑬⑿⑵	ginned
⑶⒋⑵⒌	girder
⑶⒋⑵⑹	girds
⑶⒋⑪⑹	girls
⑻⒂⑾⒄	gyro
⑶⒋⑤⑥	girths
⑻⒀⒂⑹	gis
⑻⑬⑥②	gist
⑶⑬⑷⒌	giver
⑶⑬⑷⑹	gives
⑶⑪⑮⑵	glad
⑶⑪⒁⑵	glade
⑶⑪⒊⑵	glared
⑶⑪⒊⑹	glares
⑶⑪⑳⑥	glass
⑶⑪⒁⑹	glaze
⑶⑪⒀⑫	gleam
⑶⑪⒀⑿	glean
⑶⑪⒀⑴	glebe
⑶⑪⒀⑹	glees
⑶⑪⑭⑿	glen
⑶⑪⑬⑴	glib
⑶⑪⒂⑵	glide
⑶⑪⑬⑧	glitch
⑶⑪⒄②	gloat
⑶⑪⒄⑴	globe
⑶⑪⒅⑫	gloom
⑶⑪⒉⑬	glory
⑶⑪⑰⑥	gloss
⑶⑪⒃⑷	glove
⑶⑪⒄⑵	glowed
⑶⑪⑲⒌	glower
⑶⑪⒄⑹	glows
⑶⑪⒅⑵	glued
⑶⑪⒅⑹	glues
⑶⑪⒅⑬	gluey
⑶⑪⒃⑫	glum
⑶⑪⒃②	glut
⑿⒈⑪⑵	gnarled
⑿⑮⑦②	gnashed
⑿⑮②⑥	gnats
⑿⒇⑬⑩	gnawing
⑿⒄⑫⑹	gnomes
⑶⒄⑵⑹	goads
⑶⒄⑪⑬	goalie
⑶⒄⑪⑹	goals
⑶⒄②⒀	goatee
⑶⒄②⑥	goats
⑶⑰⑴⑹	gobs
⑶⑰⑵⑹	gods
⑶⒄⑬⑿	goin'
⑶⒄⑬⑩	going
⑶⒆②⒌	goitre
⑶⒄⑪⑵	gold
⑶⑰⑪④	golf
⑶⑰⑪⑬	golly
⑶⑰⑿⒌	goner
⑶⑰⑩⑵	gonged
⑶⑰⑩⑹	gongs
⑶⑰⑿⑯	gonna
⑶⑱⑵⑹	goods
⑶⑱⑵⑬	goody
⑶⒅④②	goofed
⑶⒅④⑥	goofs
⑶⒅④⑬	goofy
⑶⒅⑬⒌	gooier
⑶⒅⑿⑹	goons
⑶⒄④⒌	gopher
⑶⒉⑻⑵	gorged
⑶⒉⑬⒌	gorier
⑶⒉⑬⑩	goring
⑶⑰⑤⑥	goths
⑶⑰②⑯	gotta
⑶⑼⑳⑦	gouache
⑶⑲⑻⑵	gouged
⑶⑱⒌⑵	gourd
⑶⑲②⑥	gouts
⑶⑲②⑬	gouty
⑶⑲⑿⑵	gowned
⑶⑲⑿⑹	gowns
⑻⒀①⒀	gp
⑶⑾⑮⑴	grab
⑶⑾⒁⑥	grace
⑶⑾⒁⑵	grade
⑶⑾⒁⑪	grail
⑶⑾⒁⑿	grain
⑶⑾⑮⑫	gram
⑶⑾⒁①	grape
⑶⑾⑮④	graph
⑶⑾⑳⑥	grass
⑶⑾⒁②	great
⑶⑾⑳⑷	grave
⑶⑾⒁⑷	grave
⑶⑾⒁⒌	greyer
⑶⑾⒁⑹	graze
⑶⑾⒀⑥	grease
⑶⑾⒀⑴	grebe
⑶⑾⒀⑵	greed
⑶⑾⒀③	greek
⑶⑾⒀⑿	green
⑶⑾⒀②	greet
⑶⑾⑬⑵	grid
⑶⑾⒀④	grief
⑶⑾⒀⑷	grieve
⑶⑾⑬⑪	grill
⑶⑾⑬⑫	grim
⑶⑾⒂⑫	grime
⑶⑾⑬⑿	grin
⑶⑾⑬①	grip
⑶⑾⒀①	grippe
⑶⑾⑬②	grit
⑶⑾⒄⑿	grown
⑶⑾⒄②	groat
⑶⑾⑰⑶	grog
⑶⑾⒆⑿	groin
⑶⑾⒅⑫	groom
⑶⑾⒅⑷	groove
⑶⑾⒄①	grope
⑶⑾⒄⑥	gross
⑶⑾⑰②	grot
⑶⑾⑲⑧	grouch
⑶⑾⒅①	group
⑶⑾⑲⑥	grouse
⑶⑾⒄⑷	grove
⑶⑾⒄⒌	grower
⑶⑾⑲⑪	growl
⑶⑾⒄⑹	grows
⑶⑾⒄⑤	growth
⑶⑾⒃⑴	grub
⑶⑾⒃⑻	grudge
⑶⑾⒃④	gruff
⑶⒈⑵⑹	guards
⑶⑭⑥②	guest
⑶⑯④⒇	guffaw
⑶⒂⑵⑹	guides
⑶⒀⑫⒁	guillemet
⑶⑬⑿⑬	guinea
⑶⒂⑯⑿	guion
⑶⑬②⒈	guitar
⑶⒃⑪⑧	gulch
⑶⒃⑪④	gulf
⑶⒃⑪⑵	gulled
⑶⒃⑪⑹	gulls
⑶⒃⑪⑬	gully
⑶⒃⑪①	gulp
⑶⒃⑫⑵	gummed
⑶⒃⑫⑬	gummy
⑶⒃⑫⑹	gums
⑶⒃⑿⑵	gunned
⑶⒃⑿⒌	gunner
⑶⒃⑿⑬	gunny
⑶⒃⑿⑹	guns
⑶⒋③⑯	gurkha
⑶⒅⑾⒅	guru
⑶⒃⑦②	gushed
⑶⒃⑦⒌	gusher
⑶⒃⑥②	gust
⑶⒃②⑥	guts
⑶⒃②⒌	gutter
⑶⒂⑬⑩	guying
⑻⑬⑫⑹	gyms
⑻⑬①②	gypped
⑻⑬①⑥	gyps
⑽⑯⑫⑵	h'mmed
⑽⑯⑫⑹	h'ms
⑽⑮③②	hacked
⑽⑮③⑥	hacks
⑽⑮⑻⑬	hadji
⑽⑳④②	haft
⑽⑮⑶⑹	hags
⑽⑳⑽⑳	haha
⑽⒁⑪⑵	hailed
⑽⒁⑪⑹	hails
⑽⒁⑿②	haint
⑽⒊⑵⒅	hairdo
⑽⒊⑬⒌	hairier
⑽⑯⑪⒄	hello
⑽⑯⑪⒅	halloo
⑽⑮⑪⒄	hallow
⑽⒇⑪⑹	halls
⑽⒁⑪⒄	halo
⑽⒇⑪②	halt
⑽⑳⑷⑵	halved
⑽⑳⑷⑹	halves
⑽⑮⑫⑵	hammed
⑽⑮⑫⒌	hammer
⑽⑮⑫⑹	hams
⑽⑮⑿⑵	hand
⑽⑮⑩⒌	hangar
⑽⑮⑩⑵	hanged
⑽⑮⑩⑹	hangs
⑽⑮⑩③	hank
⑽⑮①②	happed
⑽⑮①⑬	happy
⑽⑮①⑥	haps
⑽⒌⑮⑩	harangue
⑽⒌⑮⑥	harass
⑽⒈⑴⒌	harbour
⑽⒈⑵⒌	harder
⑽⒈⑵⑬	hardy
⑽⒈⒀⑫	harem
⑽⒊⑬⑩	haring
⑽⒈③②	harked
⑽⒈③⑥	harks
⑽⒈⑫⑵	harmed
⑽⒈⑫⑹	harms
⑽⒈①②	harped
⑽⒈①⒌	harper
⑽⒈①⑥	harps
⑽⒈①⑬	harpy
⑽⑮⑾⒄	harrow
⑽⑮⑾⑬	harry
⑽⒈⑦⒌	harsher
⑽⒈②⑥	hearts
⑽⑮⑦②	hashed
⑽⑳⑥①	hasp
⑽⑮⑥②	hast
⑽⒁⑥②	haste
⑽⑮⑧②	hatched
⑽⒁②⑥	hates
⑽⑮②⑥	hats
⑽⑮②⒌	hatter
⑽⒇②⑬	haughty
⑽⒇⑪⑵	hauled
⑽⒇⑪⒍	haulier
⑽⒇⑿⑧	haunch
⑽⒇⑿②	haunt
⒄⑴⒆⑹	hautboys
⑽⑮⑷⑹	haves
⑽⒇⑬⑩	hawing
⑽⒇③②	hawked
⑽⒇③⒌	hawker
⑽⒇③⑥	hawks
⑽⒇⑹⒌	hawser
⑽⒁⑬⑩	haying
⑽⒁⑹⑵	hazed
⑽⒁⑹⑬	hazy
⑽⑭⑵⒌	header
⑽⑭⑵⑹	heads
⑽⑭⑵⑬	heady
⑽⒀⑪⑵	healed
⑽⒀⑪⒌	healer
⑽⒀⑪⑹	heels
⑽⑭⑪⑤	health
⑽⒀①②	heaped
⑽⒀①⑥	heaps
⑽⒍⒌⑹	hearers
⑽⒍⑬⑩	hearing
⑽⒍⑥⒁	hearsay
⑽⒈⑤⑥	hearths
⑽⒈②⑬	hearty
⑽⒀②⒌	heater
⑽⑭⑸⒌	heather
⑽⒀⑤⑥	heaths
⑽⒀②⑥	heats
⑽⒀⑷⑵	heaved
⑽⒀⑷⑹	heaves
⑽⑭⑷⑬	heavy
⑽⑭③⑥	hecks
⑽⑭⑻⑵	hedged
⑽⒀⑵⑹	heeds
⑽⒀⑽⒇	heehaw
⑽⒀⑬⑩	heeing
⑽⑭④⒌	heifer
⑽⒁⑽⒄	heighho
⑽⒂②⑥	heights
⒊⑪⒅⑫	heirloom
⑽⑭⑪⑵	held
⑽⑭⑪⑹	hells
⑽⑭⑪⑫	helm
⑽⑭⑪①	help
⑽⑭⑪⑷	helve
⑽⑭⑫⑵	hemmed
⑽⑭⑫①	hemp
⑽⑭⑫⑹	hems
⑽⑭⑿⑥	hence
⑽⑭⑿⑧	hench
⑽⑭⑿⑯	henna
⑽⑭⑿⑹	hens
⑽⒋⑴⑹	herbs
⑽⒋⑵⑹	herds
⑽⒍⑴⒂	hereby
⑽⒍⑬⑿	herein
⑽⒍⑰⑷	hereof
⑽⒍②⒅	hereto
⑽⒋⑿⒎	hernia
⑽⒍⒄⑹	heroes
⑽⒊⑯⑿	herren
⑽⒋②⑥	hurts
⑽⒏⒌⑹	hewers
⑽⒏⑬⑩	hewing
⑽⒁⑵⒁	heyday
⑽⑬③⑥	hicks
⑽⒂⑵⑹	hides
⑽⒂⑬⑩	hieing
⑽⒂⑴⒆	highboy
⑽⒂⑪⑬	highly
⑽⒂⑼⒁	highway
⑽⒂③②	hiked
⑽⒂③⒌	hiker
⑽⒂③⑥	hikes
⑽⑬⑪⑹	hills
⑽⑬⑪⑬	hilly
⑽⑬⑪②	hilt
⑽⒂⑿⑵	hind
⑽⑬⑿⑻	hinge
⑽⑬⑿②	hint
⑽⑬①⑬	hippie
⑽⑬①⒄	hippo
⑽⑬①⑥	hips
⑽⒂⒌⑵	hired
⑽⒂⒌⑹	hires
⑽⑬⑥②	hissed
⑽⑬⑧②	hitched
⑽⑬⑸⒌	hither
⑽⑬②⑥	hits
⑽⒂⑷⑵	hived
⑽⒂⑷⑹	hives
⑽⒉⑵⒌	hoarder
⑽⒉⑵⑹	hordes
⑽⒉⑬⒌	hoarier
⑽⒉⑥⒌	hoarser
⑽⒄③⑥	hoax
⑽⑰⑴⑬	hobby
⑽⒄⑴⒄	hobo
⑽⑰⑴⑹	hobs
⑽⑰③②	hocked
⑽⑰③⑬	hockey
⑽⑰③⑥	hocks
⑽⑰⑵⑹	hods
⑽⒄⑬⑩	hoeing
⑽⑰⑶⑵	hogged
⑽⑰⑶⑹	hogs
⑽⒆⑥②	hoist
⑽⒄⑪⑵	hold
⑽⒄⑪⑹	holes
⑽⑰⑪⒌	holler
⑽⑰⑪⒄	hollow
⑽⑰⑪⑬	holly
⑽⒄⑪⑬	holy
⑽⒄⑫⑹	homes
⑽⒄⑫⑬	homey
⑽⒄⑫⒄	homo
⑽⒄⑿⑵	honed
⑽⒄⑿⑹	hones
⑽⒃⑿⑬	honey
⑽⑰⑩③	honk
⑰⑿⒌⑹	honours
⑰⑿⒌⑵	honoured
⑽⒅⑵⒅	hoodoo
⑽⑱⑵⑹	hoods
⑽⒅④⑥	hoofs
⑽⑱③⑯	hookah
⑽⑱③②	hooked
⑽⑱③⒌	hooker
⑽⑱③⑥	hooks
⑽⑱③⑬	hooky
⑽⒅①②	whooped
⑽⒅①⑥	hoops
⑽⒅②⒌	hooter
⑽⒅②⑥	hoots
⑽⒅⑷⒌	hoover
⑽⒅⑷⑹	hooves
⑽⒄①②	hoped
⑽⒄①⑥	hopes
⑽⑰①②	hopped
⑽⑰①⒌	hopper
⑽⑰①⑥	hops
⑽⒉⑿⑵	horned
⑽⒉⑿⑹	horns
⑽⒉⑿⑬	horny
⑽⑰⑾⒌	horror
⑽⒉⑥⑬	horsey
⑽⒄⑹⑵	hosed
⑽⒄⑹⒍	hosier
⑽⒄⑥②	host
⑽⑰②⑥	hots
⑽⑰②⒌	hotter
⑽⑲⑿⑵	hound
⑽⑱⒌⑬	houri
⑲⒌⑪⑬	hourly
⑽⑲⑹⑵	housed
⑽⑰⑷⒌	hover
⑽⑲⑵⑯	howdah
⑽⑲⑪⑵	howled
⑽⑲⑪⒌	howler
⑽⑲⑪⑹	howls
⒁⑧①⒀	hp
⒁⑧③⒏	hq
⑽⒃⑴⑬	hubby
⑽⒃⑴⑹	hubs
⑽⒃④②	huffed
⑽⒃④⑥	huffs
⑽⒃④⑬	huffy
⑽⒃⑶⑵	hugged
⑽⒃⑶⑹	hugs
⑽⒅⑪⑯	hula
⑽⒃⑪③	hulk
⑽⒃⑪⑵	hulled
⑽⒃⑪⑹	hulls
⑽⒃⑫⑵	hummed
⑽⒏⑫⒌	humour
⑽⒃⑫①	hump
⑽⒃⑫⑹	hums
⑽⒃⑿⑧	hunch
⑽⒃⑩③	hunk
⑽⒃⑿⑹	huns
⑽⒃⑿②	hunt
⑽⒋⑪⑵	hurled
⑽⒋⑪⑹	hurls
⑽⒌⑳⑵	hurrahed
⑽⒌⑳⑹	hurrahs
⑽⒃⑾⑬	hurry
⑽⒃⑦②	hushed
⑽⒃⑥③	husk
⑽⑯⑹⒈	hussar
⑽⒃⑥⑬	hussy
⑽⒃②⑥	huts
⑽⒅⑶⑯	hygge
⑽⑬⑫⑵	hymned
⑽⑬⑫⑹	hymns
⑽⒂①⒄	hypo
⒂⑮⑫⑹	iambs
⑬⑴⑬⑵	ibid
⒂⑴⑬⑥	ibis
⒂⑥⑯⑹	ices
⒂⑥⑬⒌	icier
⒂⑥⑬⑩	icing
⒂③⑰⑿	icon
⒂⑵⒎⑪	ideal
⒂⑵⒎⑹	ideas
⑬⑵⑭⑫	idem
⑬⑵⒎⑫	idiom
⑬⑵⒎②	idiot
⒂⑵⑯⑪	idle
⒂⑵⑪⒌	idler
⒂⑵⑪⑬	idly
⑬⑵⑬⑪	idyll
⑬⑶⑪⒅	igloo
⑬⑶⑿⒉	ignore
⑬⑪⒅⑫	illume
⑬⑫⑬⑻	image
⑬⑫⑳⑫	imam
⑬⑫⑴⒏	imbue
⑬⑫⒋⑥	immerse
⑬⑫⒏⑿	immune
⑬⑫①⒊	impair
⑬⑫①⑥	imps
⑬⑿⒁⑿	inane
⑬⑿⑧②	inched
⑬⑿③⒋	incur
⑬⑿⑵⒉	indoor
⑬⑿⒋②	inert
⑬⑿④⒋	infer
⑬⑿④⒄	info
⑬⑿⑻⒌	injure
⑬⑩③②	inked
⑬⑩③⑥	inks
⑬⑩③⑬	inky
⑬⑿⑪⒁	inlay
⑬⑿⒁②	innate
⑬⑿⑬⑩	inning
⑬⑿⑦⒉	inshore
⑬⑿②⒋	inter
⑬⑿②⒅	into
⑬⑿⑷⒁	inveigh
⒂⑯⑿⑹	ions
⒂⒄②⑯	iota
⒂⒄⒏⑹	ious
⒂⑾⒁②	irate
⒂⑾⑬⑥	iris
⒂⑾⑬⑦	irish
⒋③⑬⑩	irking
⒂⒌⑿⑵	ironed
⒂⒌⑿⑹	irons
⑬⑹⑯⑫	ism
⑬⑦⒅⑵	issued
⑬⑦⒅⑹	issues
⑬②⑯⑵	it'd
⑬②⑯⑪	it'll
⑬⑧⑯⑹	itches
⑬⑧⑬⒌	itchier
⑬⑧⑬⑩	itching
⒂②⑯⑫	item
⒂⒏⑵⒀	iud
⒂⑷⑬⑵	ivied
⒂⑷⑬⑹	ivies
⒂⑷⒌⑬	ivory
⑻⑮⑴⑵	jabbed
⑻⑮⑴⒌	jabber
⑺⑮⑴⒄	jabot
⑻⑮⑴⑹	jabs
⑻⑮③②	jacked
⑻⑮③⑥	jacks
⑻⒁⑵⑹	jades
⑻⑮⑶⑵	jagged
⑻⑮⑶⑬	jaggy
⑻⑮⑶⑹	jags
⑻⒁③⑥	jakes
⑻⑮⑫⑹	jams
⑻⑮⑫⑵	jammed
⑻⒁①⑥	japes
⑻⒈⑬⑩	jarring
⑻⒇⑿②	jaunt
⑻⒇⑬⑩	jawing
⑻⑮⑹⑵	jazzed
⑻⑮⑹⑬	jazzy
⑻⒀①⑥	jeeps
⑻⒍⑬⑩	jeering
⑻⑭⑪⑬	jelly
⑻⑭⑫⑬	jemmy
⑻⑭⑿⑬	jenny
⑻⒋③②	jerked
⑻⒋③⑥	jerks
⑻⒋③⑬	jerky
⑻⑭⑾⑬	jerry
⑻⒋⑹⑬	jersey
⑻⑭⑥②	jest
⑻⑭②⑥	jets
⑻⑭②⑬	jetty
⑻⒅⑯⑪	jewel
⑻⒅⑭⑥	jewess
⑻⒅⑬⑦	jewish
⑻⑬⑴⑵	jibbed
⑻⑬⑴⑹	jibs
⑻⑬④⑬	jiffy
⑻⑬⑶⑵	jigged
⑻⑬⑶⒌	jigger
⑻⑬⑶⑹	jigs
⑻⑬⑪②	jilt
⑻⑬⑫⑬	jimmy
⑻⒂⑷⑵	jived
⑻⒂⑷⑹	jives
⑻⑰⑴⑵	jobbed
⑻⑰⑴⒌	jobber
⑻⑰⑴⑹	jobs
⑻⒄⑴⑹	jobs
⑻⑰③⑬	jockey
⑻⑰⑶⑵	jogged
⑻⑰⑶⒌	jogger
⑻⑰⑶⑹	jogs
⑻⑰⑿⑬	johnnie
⑻⒆⑿⑵	joined
⑻⒆⑿⒌	joiner
⑻⒆⑿⑹	joins
⑻⒆⑿②	joint
⑻⒆⑥②	joist
⑻⒄③②	joked
⑻⒄③⒌	joker
⑻⒄③⑥	jokes
⑻⑰⑪⑬	jolly
⑻⒄⑪②	jolt
⑻⑰②⑥	jots
⑻⑰②⒌	jotter
⑻⒅⑪⑹	joules
⑻⒋⑿⑬	journey
⑻⑲⑥②	joust
⑻⑲⑪⑹	jowls
⑻⑲⑪⑬	jowly
⑻⒆⑬⑩	joying
⑻⒆⑯⑥	joyous
⑻⒁①⒀	jp
⑻⒃⑵⒌	judder
⑻⒃⑻⑵	judged
⑻⒅⑵⒄	judo
⑻⒃⑶⑵	jugged
⑻⒃⑶⑹	jugs
⑻⒅⑥⑬	juicy
⑻⒅⑻⒅	juju
⑻⑯⑪⒂	july
⑻⒃⑫①	jump
⑻⒅⑿⑹	junes
⑻⒅⑿⒍	junior
⑻⒃⑩③	junk
⑻⑱⒌⒌	juror
⑻⑱⒌⑬	jury
⑻⒃⑥②	just
⑻⒃②⑥	juts
③⑮④⒌	kaffir
③⒂⑹⒌	kaiser
③⒈⑫⑯	karma
③⑳⑷⑯	kava
③⒂⑮③	kayak
③⒀⑪⑵	keeled
③⒀⑪⑹	keels
③⒀⑿⑵	keened
③⒀⑿⒌	keener
③⒀⑿⑹	keens
③⒀①⒌	keeper
③⒀①⑥	keeps
③⑭⑶⑹	kegs
③⑭⑪①	kelp
③⑭⑿⑵	kenned
③⑭⑿⑹	kens
③⒁①⑬	kepi
③⑭①②	kept
③⒀⑬⑩	keying
③⑳③⑬	khaki
③⑳⑿⑹	khans
③⑯⑫⒊	khmer
③⑬③②	kicked
③⑬③⑥	kicks
③⑬⑵⑬	kiddy
③⑬⑵⑹	kids
③⑬⑪⑵	killed
③⑬⑪⒌	killer
③⑬⑪⑹	kills
③⑬⑪⑿	kiln
③⒀⑪⒄	kilo
③⑬⑪②	kilt
③⒂⑿⑵	kind
③⑬⑩⑹	kings
③⑬⑩③	kink
③⑬①②	kipped
③⑬①⒌	kipper
③⑬①⑥	kips
③⒋③⑥	kirks
③⑬⑥②	kissed
③⑬⑥⒌	kisser
③⒂②⑥	kites
③⑬②⑥	kits
③⑬②⑬	kitty
③⒀⑼⒀	kiwi
⑿⑮③⒌	knacker
⑿⑮③⑥	knacks
⑿⑮①②	napped
⑿⑮①⑥	naps
⑿⒁⑷⑹	knaves
⑿⒀⑵⑹	needs
⑿⒀⑪⑵	kneeled
⑿⒀⑪⑹	kneels
⑿⑭⑪②	knelt
⑿⒂④②	knifed
⑿⒂④⑥	knifes
⑿⒂②⑥	nights
⑿⑬②⑥	knits
⑿⑬②⒌	knitter
⑿⒂⑷⑹	knives
⑿⑰⑴⑹	knobs
⑿⑰③②	knocked
⑿⑰③⒌	knocker
⑿⑰③⑥	knocks
⑿⒄⑪⑹	knolls
⑿⑰②⑥	knots
⑿⑰②⑬	knotty
⑿⑲②⑥	knouts
⑿⒄⑬⑩	knowing
③⒄⑴⒄	kobo
③⒌⑳⑿	koran
③⒌⒎⑿	korean
③⑲②⑲	kowtow
③⑾⑳⑪	kraal
③⑾⑬⑪	krill
③⒂①⒌	kuiper
③⑷⑮⑥	kvass
⑪⑳⑶⒌	lager
⑪⒁⑴⒌	labour
⑪⑮⑴⑹	labs
⑪⒁⑥②	laced
⑪⑮③②	lacked
⑪⑮③⑬	lackey
⑪⑮③⑥	lacks
⑪⑮③⒌	lacquer
⑪⒁⑥⑬	lacy
⑪⒁⑵⒈	ladar
⑪⑮⑵⒌	ladder
⑪⑮⑵⑬	laddie
⑪⑮⑵⑹	lads
⑪⒁⑵⑬	lady
⑪⑮⑶⑵	lagged
⑪⑮⑶⑹	lags
⑪⒁⑬③	laic
⑪⒊⑵⑹	lairds
⑪⒁③⑥	lakes
⑪⑳③⑥	lakhs
⑪⑳⑫⑯	llama
⑪⑮⑫⑵	lammed
⑪⑮⑫⑹	lambs
⑪⑳⑫⒁	lame
⑪⒁⑫⑵	lamed
⑪⒁⑫⒌	lamer
⑪⒁⑫⑹	lames
⑪⑮⑫①	lamp
⑪⑳⑿⑥	lance
⑪⑮⑿⑵	land
⑪⒁⑿⑹	lanes
⑪⑮⑩③	lank
⑪⑮①②	lapped
⑪⑮①⑥	laps
⑪⒈⑵⒌	larder
⑪⒈⑵⑹	lards
⑪⒈⑻⒌	larger
⑪⒈⑶⒄	largo
⑪⒈③②	larked
⑪⒈③⑥	larks
⑪⒈⑿⑵	larned
⑪⒈⑿⑹	larns
⑪⒈⑷⑯	larva
⑪⒈⑷⒀	larvae
⑪⒁⑹⒌	laser
⑪⑮⑦②	lashed
⑪⑮⑥⑬	lassie
⑪⑮⑥⒅	lasso
⑪⑳⑥②	last
⑪⑮⑧②	latched
⑪⒁②⒌	later
⑪⑳⑸⒌	lather
⑪⒁⑸⑹	lathes
⑪⑳②⑬	lathi
⑪⑳⑸⑹	laths
⑪⑮②⒌	latter
⑪⒇⑵⑹	lauds
⑪⑳④②	laughed
⑪⑳④⑥	laughs
⑪⒇⑿⑧	launch
⑪⒉⒎②	laureate
⑪⑳⑷⑯	lava
⑪⒁⑷⑵	laved
⑪⒁⑷⑹	laves
⑪⑮⑷⑹	lavs
⑪⒇⑿⑹	lawns
⑪⒇⑨⒌	lawyer
⑪⒁⑴⒂	layby
⑪⒁⒌⑵	layered
⑪⒁⒌⑹	layers
⑪⒁⑭②	layette
⑪⒁⑬⑩	laying
⑪⑮⑹⒌	lazar
⑪⒁⑹⑵	lazed
⑪⒁⑹⑬	lazy
①⑲⑿⑵	pound
⑪⒀⑧②	leached
⑪⒀⑵⒌	leader
⑪⒀⑵⑹	leads
⑪⒀④②	leafed
⑪⒀④⑥	leafs
⑪⒀④⑬	leafy
⑪⒀⑶⑵	leagued
⑪⒀⑶⑹	leagues
⑪⒀③②	leaked
⑪⒀③⑥	leaks
⑪⒀③⑬	leaky
⑪⒀⑿⑵	leaned
⑪⒀⑿⒌	leaner
